iter	Passed	Remaining
0	1	178
1	3	147
2	4	137
3	5	135
4	6	132
5	8	127
6	9	124
7	10	124
8	12	122
9	13	120
10	14	119
11	16	119
12	17	118
13	19	118
14	20	116
15	21	114
16	23	112
17	24	110
18	25	110
19	27	108
20	28	106
21	29	104
22	30	102
23	31	101
24	33	99
25	34	97
26	35	95
27	36	94
28	37	92
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	82
35	45	81
36	46	79
37	48	78
38	49	77
39	50	75
40	51	74
41	52	73
42	54	71
43	54	69
44	56	68
45	57	67
46	58	65
47	59	64
48	60	63
49	61	61
50	62	60
51	63	59
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	87	32
73	88	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	117	0
